38,PEFX3,19.00,-52.04,1.68,0.477,0.00,0.597,20.34,5.75,-3.18,6.59,0.00,0.083,-0.0092,1.07,0.1177,-0.0324,0.00,396955000.00,0.31,0.0436,158769180193
39,TOYB4,2.50,-47.96,-5.43,5.256,0.00,4.405,-6.47,-9.04,-3.83,-9.15,-9.67,-0.5816,-0.1096,0.49,-0.5936,0.1131,0.00,-13852000.00,-0.07,-0.2699,158769180193
40,IMBI3,5.01,-46.42,2.81,2659.020,0.00,0.518,-2.21,-97.12,-0.37,-104.72,-107.45,-27.3788,-138.212,0.05,-0.0054,-0.0605,0.00,62544000.00,0.22,-0.5716,158769180193
41,CLAN4,3.00,-44.92,0.47,15.151,0.00,0.406,-15.50,-82.56,-6.36,-97.43,22.68,-0.1835,-0.3373,0.73,-0.005,-0.0105,0.00,1012240000.00,0.08,-0.6396,158769180193
42,TOYB3,2.29,-43.94,-4.97,4.815,0.00,4.035,-5.93,-8.28,-3.50,-8.39,-8.87,-0.5816,-0.1096,0.49,-0.5936,0.1131,0.00,-13852000.00,-0.07,-0.2699,158769180193
43,EBTP3,10.21,-43.56,1.17,0.548,0.00,0.353,-502.47,6.42,-0.73,8.46,2.85,0.0853,-0.0103,0.99,0.0603,-0.0268,0.00,10782200000.00,0.39,0.221,158769180193
44,EBTP4,10.00,-42.66,1.14,0.537,0.00,0.346,-492.13,6.29,-0.71,8.33,2.81,0.0853,-0.0103,0.99,0.0603,-0.0268,0.00,10782200000.00,0.39,0.221,158769180193
45,FBRA4,34.58,-39.57,1.66,0.457,0.00,0.738,18.94,7.40,-4.43,10.62,10.62,0.0618,-0.0115,1.11,0.1194,-0.042,0.00,213406000.00,0.77,0.1248,158769180193
46,BRTP4,20.81,-39.19,1.43,0.681,0.00,0.399,5.23,3.51,-1.40,5.03,5.03,0.1937,-0.0296,1.29,0.1341,-0.0364,0.00,5302340000.00,0.91,0.0366,158769180193
47,MEAL3,3.14,-38.83,0.54,0.384,0.0032,0.229,10.03,23.26,-0.63,31.91,7.82,0.0165,-0.0099,1.12,0.0122,-0.0138,14307700.00,1145110000.00,0.49,0.0012,158769180193
48,GOLL4,12.11,-36.71,-0.56,0.311,0.00,0.281,-0.79,2.37,-0.25,5.58,2.86,0.1308,0.0129,0.48,0.1589,0.0153,181865000.00,-7676670000.00,-1.10,0.088,158769180193
49,GFSA3,4.04,-35.28,0.54,1.211,0.00,0.190,0.89,9.94,3.38,16.43,12.73,0.1218,-0.0352,1.44,0.0239,-0.0154,23604500.00,893708000.00,0.82,-0.2913,158769180193
50,ITEC3,40.10,-35.12,22.04,2611.690,0.00,9.216,25.42,-26.00,-68.91,-24.80,-29.56,-100.447,-74.3588,5.23,-0.6306,-0.6276,0.00,20143000.00,0.00,-0.7479,158769180193
51,ECOR3,11.52,-34.70,14.13,1.628,0.00,0.558,-3.83,5.35,-0.73,10.89,7.40,0.3043,-0.0469,0.58,0.1276,-0.4073,53519600.00,455351000.00,19.06,0.076,158769180193
52,VALE3,43.51,-34.46,1.42,1.547,0.0325,0.622,17.84,3.66,-1.60,4.14,3.35,0.423,-0.0585,1.23,0.1944,-0.0413,1659200000.00,161480000000.00,0.37,0.1569,158769180193
53,IMBI4,3.50,-32.43,1.96,1857.600,0.00,0.362,-1.54,-67.85,-0.26,-75.44,-77.41,-27.3788,-138.212,0.05,-0.0054,-0.0605,0.00,62544000.00,0.22,-0.5716,158769180193
54,PRTX3,2.77,-32.27,-145.32,297.651,0.00,1.400,-2.57,-97.11,-1.43,-128.99,37.19,-3.065,-9.2247,0.05,-0.015,4.5037,0.00,-18917000.00,-49.85,3.0796,158769180193
55,DFVA3,9.90,-31.38,60.69,4.327,0.00,5.365,29.10,-55.91,-31.47,-58.28,-58.28,-0.0774,-0.1379,1.33,-0.1035,-1.9342,0.00,1170000.00,2.84,0.0339,158769180193
56,MILS3,5.53,-30.97,1.26,3.169,0.00,1.012,10.57,-44.21,37.16,-45.02,10.84,-0.0717,-0.1024,1.76,-0.0257,-0.0406,10520200.00,1107370000.00,0.14,-0.0775,158769180193
57,ASTA4,25.83,-30.79,1.00,0.652,0.00,0.446,2.57,19.90,-3.30,33.20,33.20,0.0328,-0.0212,1.71,0.0252,-0.0325,0.00,515672000.00,0.85,-0.0473,158769180193
58,RCSL4,1.39,-30.48,-1.57,5.648,0.00,2.715,-8.47,224.24,-1.16,224.03,135.17,0.0252,-0.1856,0.56,0.0124,0.0516,1527580.00,-67059000.00,-0.00,1.5704,158769180193
59,VGOR4,5.87,-29.58,7.18,1.229,0.00,1.468,113.97,27.32,-3.22,34.09,34.09,0.045,-0.0459,1.04,0.06,-0.2429,0.00,135178000.00,1.89,0.0477,158769180193
60,CRBM3,90.00,-28.95,3.26,1.498,0.00,1.172,2.98,-15.45,16.90,-14.17,-14.17,-0.097,-0.0518,2.24,-0.1271,-0.1128,0.00,827347000.00,0.45,-0.0158,158769180193
61,GLOB4,30.49,-27.66,68.58,1.545,0.00,1.623,-12.08,46.74,-3.48,52.09,25.52,0.0331,-0.0559,0.79,0.0537,-2.4792,0.00,578000000.00,10.21,0.0919,158769180193
62,TELB3,93.20,-26.63,3.84,30.967,0.00,1.472,6.69,-20.69,-4.30,-18.80,-50.20,-1.4969,-1.1629,5.04,-0.09,-0.1442,47903.80,1646730000.00,0.17,0.4769,158769180193
63,VALE5,33.36,-26.42,1.09,1.186,0.00,0.477,13.67,2.80,-1.23,3.28,2.66,0.423,-0.0585,1.23,0.1944,-0.0413,0.00,161480000000.00,0.37,0.1569,158769180193
64,BRAP4,29.40,-25.38,1.07,0.000,0.0474,1.012,0.00,-596.66,0.00,-597.94,-597.94,0.00,0.00,0.00,0.00,-0.0422,79904200.00,9560850000.00,0.00,0.00,158769180193
65,DFVA4,8.00,-25.35,49.04,3.497,0.00,4.335,23.51,-45.18,-25.43,-47.55,-47.55,-0.0774,-0.1379,1.33,-0.1035,-1.9342,0.00,1170000.00,2.84,0.0339,158769180193
66,ETER4,9.85,-24.75,-110.91,0.640,0.00,0.574,78.60,-6.10,-0.99,-8.13,-12.72,-0.105,-0.0258,1.02,-0.1077,4.4816,0.00,-2822000.00,-40.25,-0.1659,158769180193
67,TAMM4,52.73,-22.74,3.80,0.626,0.00,0.524,-31.11,9.77,-0.96,18.01,9.66,0.0641,-0.0221,0.95,0.0636,-0.167,0.00,2174310000.00,4.08,0.0979,158769180193
68,TAMM3,52.60,-22.68,3.79,0.625,0.00,0.523,-31.04,9.74,-0.96,17.98,9.65,0.0641,-0.0221,0.95,0.0636,-0.167,0.00,2174310000.00,4.08,0.0979,158769180193
69,BRAP3,26.00,-22.44,0.95,0.000,0.0487,0.895,0.00,-527.66,0.00,-528.94,-528.94,0.00,0.00,0.00,0.00,-0.0422,1325510.00,9560850000.00,0.00,0.00,158769180193
70,BAHI4,86.00,-20.80,1.57,3.597,0.00,0.999,10.01,-18.10,-14.36,-14.64,-16.44,-0.1988,-0.1778,1.57,-0.0741,-0.0754,0.00,121702000.00,0.10,0.1873,158769180193
71,IDVL4,2.60,-19.73,0.59,0.000,0.00,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.0298,30944.80,384430000.00,0.00,0.00,158769180193
72,PMAM3,11.30,-19.56,0.79,0.094,0.00,0.127,2.18,-7.09,-0.29,-37.18,30.92,-0.0132,-0.0048,1.17,-0.0213,-0.0404,3333640.00,621396000.00,3.56,-0.0017,158769180193
73,CRBM7,60.00,-19.30,2.18,0.999,0.00,0.782,1.99,-10.30,11.26,-9.02,-9.02,-0.097,-0.0518,2.24,-0.1271,-0.1128,0.00,827347000.00,0.45,-0.0158,158769180193
74,WMBY3,25.39,-19.30,2.87,0.836,0.00,0.182,1.20,8.62,-1.50,25.02,25.02,0.097,-0.0705,1.44,0.0239,-0.1486,0.00,212439000.00,6.51,-0.1448,158769180193
75,TDBH4,0.66,-18.63,1.28,0.906,0.00,0.811,-6.15,8.73,-5.66,10.23,10.23,0.1038,-0.0486,0.63,0.1048,-0.0685,0.00,554115000.00,0.27,0.3574,158769180193
76,TANC4,43.00,-18.54,3.10,0.511,0.00,0.428,-25.37,7.96,-0.78,16.20,8.69,0.0641,-0.0221,0.95,0.0636,-0.167,0.00,2174310000.00,4.08,0.0979,158769180193
77,SUZB3,36.56,-17.66,2.77,1.913,0.00,0.508,6.72,22.72,-0.82,47.49,15.69,0.0842,-0.1082,1.65,0.0254,-0.1568,345830000.00,17972600000.00,3.54,0.243,158769180193
78,CCIM3,5.52,-16.44,0.94,0.498,0.00,0.198,0.53,8.96,-1.09,25.04,38.84,0.0555,-0.0303,2.58,0.0238,-0.0575,0.00,660347000.00,1.93,0.2998,158769180193
79,TDBH3,0.56,-15.81,1.08,0.769,0.00,0.688,-5.22,7.40,-4.80,8.91,8.91,0.1038,-0.0486,0.63,0.1048,-0.0685,0.00,554115000.00,0.27,0.3574,158769180193
80,BAHI5,65.00,-15.72,1.19,2.719,0.00,0.755,7.57,-13.68,-10.85,-10.22,-11.48,-0.1988,-0.1778,1.57,-0.0741,-0.0754,0.00,121702000.00,0.10,0.1873,158769180193
81,MGEL4,5.87,-15.62,-0.09,0.061,0.00,0.093,0.24,0.58,-0.06,11.09,8.44,0.105,-0.0116,3.05,0.1974,0.0059,55375.80,-370634000.00,-1.77,0.0657,158769180193
82,BAHI3,62.10,-15.02,1.13,2.598,0.00,0.721,7.23,-13.07,-10.37,-9.61,-10.79,-0.1988,-0.1778,1.57,-0.0741,-0.0754,67597.00,121702000.00,0.10,0.1873,158769180193
83,AMAR3,6.20,-14.44,1.14,0.563,0.00,0.404,1.96,4.12,-7.23,6.14,3.35,0.1366,-0.039,1.54,0.1427,-0.0791,45833500.00,1420010000.00,1.07,-0.0216,158769180193
84,AHEB6,80.00,-14.14,22.11,5.240,0.00,2.291,-34.47,-14.13,-3.11,-13.49,-18.76,-0.3708,-0.3706,0.71,-0.1907,-1.5637,0.00,27217000.00,0.00,-0.1458,158769180193
85,IDVL3,1.85,-14.04,0.42,0.000,0.00,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.0298,94747.30,384430000.00,0.00,0.00,158769180193
86,LECO4,1.46,-13.48,2.00,0.637,0.00,0.924,-16.84,-29.69,-3.16,-32.69,-32.69,-0.0214,-0.0472,0.82,-0.0348,-0.1482,0.00,105928000.00,0.20,0.0358,158769180193
87,SEDU3,23.80,-13.36,15.00,3.443,0.00,1.531,57.90,-22.47,-2.67,-28.68,-69.64,-0.1533,-0.2573,1.09,-0.0815,-1.1229,0.00,415869000.00,4.67,0.1087,158769180193
88,HBOR3,2.04,-13.10,1.09,1.058,0.00,0.295,0.61,-28.72,2.94,-48.09,-59.47,-0.0368,-0.0807,2.75,-0.0119,-0.0833,28761000.00,1250700000.00,1.20,-0.0371,158769180193
89,IGUA3,8.15,-12.52,-1.44,0.568,0.00,0.564,-0.65,8.22,-0.60,14.80,5.80,0.0691,-0.0453,0.34,0.0761,0.1152,0.00,-164188000.00,-1.33,-0.0741,158769180193
90,SPRI3,27.50,-12.51,1.99,0.000,0.00,1.874,0.00,-12.41,0.00,-11.81,-11.90,0.00,0.00,0.00,0.00,-0.1592,103620.00,34904000.00,0.00,-0.7138,158769180193
91,FGUI3,12.00,-12.41,-2.15,16.009,0.00,25.203,-2.20,-57.76,-2.05,-70.17,-70.17,-0.2772,-1.29,0.04,-0.6074,0.1732,0.00,-222024000.00,-0.46,0.0213,158769180193
92,IGUA6,8.07,-12.40,-1.43,0.562,0.00,0.558,-0.64,8.14,-0.59,14.72,5.77,0.0691,-0.0453,0.34,0.0761,0.1152,0.00,-164188000.00,-1.33,-0.0741,158769180193
93,IGUA5,7.98,-12.26,-1.41,0.556,0.00,0.552,-0.64,8.04,-0.59,14.63,5.73,0.0691,-0.0453,0.34,0.0761,0.1152,0.00,-164188000.00,-1.33,-0.0741,158769180193
94,PRVI3,10.54,-11.74,1.61,0.919,0.00,0.565,-250.86,9.71,-1.48,9.87,6.39,0.0946,-0.0783,0.99,0.0615,-0.1371,0.00,525170000.00,0.10,0.1619,158769180193
95,BOBR4,1.82,-11.71,-1.66,0.447,0.00,0.721,-2.37,4.76,-0.71,7.79,6.26,0.0939,-0.0382,0.57,0.1888,0.142,801718.00,-285117000.00,-1.12,-0.0106,158769180193
96,BIOM3,10.50,-11.43,4.15,71.331,0.00,1.641,7.31,-14.34,-7.32,-15.48,-15.48,-4.9753,-6.2402,2.44,-0.1818,-0.3635,334796.00,153557000.00,1.01,8.3185,158769180193
97,CPNY3,2.35,-11.00,0.42,0.232,0.00,0.054,0.20,1.21,-0.13,4.21,4.21,0.1913,-0.0211,2.26,0.0548,-0.0386,0.00,398830000.00,2.33,0.201,158769180193
98,BAHI11,43.70,-10.57,0.80,1.828,0.00,0.508,5.09,-9.20,-7.29,-5.74,-6.44,-0.1988,-0.1778,1.57,-0.0741,-0.0754,0.00,121702000.00,0.10,0.1873,158769180193
99,RANI4,5.00,-10.47,2.48,0.927,0.0046,0.528,11.36,6.76,-1.13,12.68,6.36,0.1371,-0.0886,1.17,0.0893,-0.2365,49666.10,336485000.00,2.49,0.0536,158769180193
100,SUZB5,21.13,-10.21,1.60,1.106,0.00,0.294,3.88,13.13,-0.47,37.91,12.52,0.0842,-0.1082,1.65,0.0254,-0.1568,0.00,17972600000.00,3.54,0.243,158769180193
101,PMAM4,5.84,-10.11,0.41,0.048,0.00,0.065,1.13,-3.67,-0.15,-33.76,28.07,-0.0132,-0.0048,1.17,-0.0213,-0.0404,0.00,621396000.00,3.56,-0.0017,158769180193
102,BIOM4,8.68,-9.45,3.43,58.967,0.00,1.357,6.04,-11.85,-6.05,-13.00,-13.00,-4.9753,-6.2402,2.44,-0.1818,-0.3635,0.00,153557000.00,1.01,8.3185,158769180193
103,SPRI6,20.50,-9.33,1.49,0.000,0.00,1.397,0.00,-9.25,0.00,-8.65,-8.72,0.00,0.00,0.00,0.00,-0.1592,3982.52,34904000.00,0.00,-0.7138,158769180193
104,MSPA4,51.50,-9.02,0.37,2.710,0.0085,0.231,4.79,-10.21,-0.76,-10.46,-18.61,-0.2654,-0.3006,2.65,-0.0234,-0.0414,0.00,883397000.00,0.05,-0.1111,158769180193
105,TERI3,64.28,-8.83,0.29,0.107,0.00,0.081,7.90,7.20,-0.26,39.56,39.56,0.0149,-0.0191,1.03,0.0125,-0.0327,0.00,3641000000.00,1.43,0.0794,158769180193
106,TCNO3,1.66,-8.78,7.34,10.859,0.00,0.048,0.00,-1.60,0.00,-6.44,-7.50,-6.7698,-1.2362,0.00,0.00,-0.8357,31959.20,1497000.00,0.00,-0.6821,158769180193
107,ECPR4,81.00,-8.70,0.82,0.000,0.0273,0.508,0.00,-87.05,0.00,-86.35,-86.54,0.00,0.00,0.00,0.00,-0.0943,0.00,187644000.00,0.00,0.00,158769180193
108,SUZB6,17.88,-8.64,1.35,0.936,0.00,0.249,3.29,11.11,-0.40,35.89,11.86,0.0842,-0.1082,1.65,0.0254,-0.1568,0.00,17972600000.00,3.54,0.243,158769180193
109,ECPR3,78.20,-8.40,0.79,0.000,0.0257,0.491,0.00,-84.04,0.00,-83.34,-83.53,0.00,0.00,0.00,0.00,-0.0943,0.00,187644000.00,0.00,0.00,158769180193
110,TELB4,28.90,-8.26,1.19,9.602,0.00,0.456,2.07,-6.41,-1.33,-4.53,-12.09,-1.4969,-1.1629,5.04,-0.09,-0.1442,387990.00,1646730000.00,0.17,0.4769,158769180193
111,PLAS3,4.50,-8.19,-0.77,0.137,0.00,0.089,-0.31,-1.09,-0.10,-4.56,25.64,-0.1261,-0.0167,0.44,-0.0869,0.0945,10884.10,-72203000.00,-2.71,-0.0338,158769180193
112,MSPA3,46.50,-8.14,0.34,2.447,0.0086,0.208,4.32,-9.22,-0.68,-9.47,-16.84,-0.2654,-0.3006,2.65,-0.0234,-0.0414,1241.25,883397000.00,0.05,-0.1111,158769180193
113,SEMP3,16.86,-8.12,1.36,15.081,0.00,1.201,15.67,-4.42,15.67,-4.07,-4.07,-3.4098,-1.8582,1.64,-0.3021,-0.1681,0.00,118441000.00,0.00,-0.1037,158769180193
114,SPRI5,17.50,-7.96,1.27,0.000,0.00,1.193,0.00,-7.90,0.00,-7.29,-7.35,0.00,0.00,0.00,0.00,-0.1592,4299.55,34904000.00,0.00,-0.7138,158769180193
115,SZPQ4,6.64,-7.85,2.20,0.855,0.00,0.744,2.62,-20.31,-3.17,-22.77,-22.77,-0.0421,-0.1089,2.97,-0.0377,-0.28,0.00,684467000.00,0.30,-0.1171,158769180193
116,MEDI3,11.55,-7.52,1.89,0.374,0.00,0.824,-10.02,-9.11,-3.31,-6.61,-6.61,-0.0411,-0.0498,0.79,-0.123,-0.2513,0.00,426164000.00,0.02,0.1302,158769180193
117,ETER3,2.87,-7.21,-32.31,0.187,0.00,0.167,22.90,-1.78,-0.29,-3.81,-5.96,-0.105,-0.0258,1.02,-0.1077,4.4816,2033110.00,-2822000.00,-40.25,-0.1659,158769180193
